"No.","Time","Source","Destination","Protocol","Length","Info"
"503","12.650944","104.44.200.242","192.168.10.162","UDP","156","3480  >  35920 Len=114"
"505","12.683160","104.44.200.242","192.168.10.162","UDP","103","3480  >  35920 Len=61"
"506","12.723611","104.44.200.242","192.168.10.162","UDP","110","3480  >  35920 Len=68"
"507","12.725462","104.44.200.242","192.168.10.162","UDP","96","3480  >  35920 Len=54"
"508","12.733327","104.44.200.242","192.168.10.162","UDP","97","3480  >  35920 Len=55"
"509","12.743385","104.44.200.242","192.168.10.162","STUN","150","Binding Request user: cTe7:D2bo"
"510","12.749233","104.44.200.242","192.168.10.162","UDP","97","3480  >  35920 Len=55"
"530","12.798355","104.44.200.242","192.168.10.162","UDP","102","3480  >  35920 Len=60"
"531","12.798355","104.44.200.242","192.168.10.162","UDP","97","3480  >  35920 Len=55"
"533","12.805222","104.44.200.242","192.168.10.162","UDP","97","3480  >  35920 Len=55"
"543","12.843418","104.44.200.242","192.168.10.162","UDP","98","3480  >  35920 Len=56"
"546","12.861968","104.44.200.242","192.168.10.162","UDP","156","3480  >  35920 Len=114"
"549","12.871985","104.44.200.242","192.168.10.162","UDP","100","3480  >  35920 Len=58"
"550","12.871985","104.44.200.242","192.168.10.162","UDP","106","3480  >  35920 Len=64"
"558","12.945954","104.44.200.242","192.168.10.162","UDP","161","3480  >  35920 Len=119"
"559","12.959263","104.44.200.242","192.168.10.162","STUN","122","Binding Success Response XOR-MAPPED-ADDRESS: 88.201.137.108:1040"
"571","13.004206","104.44.200.242","192.168.10.162","UDP","174","3480  >  35920 Len=132"
"573","13.019708","104.44.200.242","192.168.10.162","UDP","86","3480  >  35920 Len=44"
"578","13.031462","104.44.200.242","192.168.10.162","UDP","74","3480  >  35920 Len=32"
"579","13.036277","104.44.200.242","192.168.10.162","UDP","545","3480  >  35920 Len=503"
"580","13.038675","104.44.200.242","192.168.10.162","UDP","84","3480  >  35920 Len=42"
"581","13.040053","104.44.200.242","192.168.10.162","UDP","204","3480  >  35920 Len=162"
"582","13.044412","104.44.200.242","192.168.10.162","UDP","544","3480  >  35920 Len=502"
"584","13.049274","104.44.200.242","192.168.10.162","UDP","561","3480  >  35920 Len=519"
"585","13.049275","104.44.200.242","192.168.10.162","UDP","156","3480  >  35920 Len=114"
"586","13.049354","104.44.200.242","192.168.10.162","UDP","171","3480  >  35920 Len=129"
"589","13.094864","104.44.200.242","192.168.10.162","UDP","561","3480  >  35920 Len=519"
